Time_s,Demanded_Speed_RPM,Current_Speed_RPM
0.01,0,0
0.02,0,0
0.03,0,0
0.04,1,0.1
0.05,2,0.29
0.06,3,0.561
0.07,4,0.9049
0.08,5,1.31441
0.09,0,1.18297
